Vowel,F1,F2
i,302.3,2390.78
i,356.01,2627.04
i,373.11,3049.41
i,367.8,2747.92
i,355.3,2195.3
i,436.29,2927.06
i,341.11,3197.81
i,421.51,2432.82
i,315.86,2247.22
i,358.42,1530.38
i,337.13,2713.1
i,324.86,2215.8
i,381.37,2934.81
i,320.3,3132.77
i,334.5,2745.5
i,439.53,3013.47
i,417.42,2893.93
i,366.79,1775.2
i,302.36,1582.56
i,357.62,2293.8
i,353.16,2176.49
i,364.15,2469.09
i,376.83,1992.57
u,328.52,1138.56
u,391.11,1308.08
u,369.28,2888.93
u,369.32,1256.84
u,409.31,1322.94
u,384.92,1306.61
u,485.46,950.03
u,339.87,1209.57
u,383.84,1129.34
u,435.87,996.7
u,375.06,698.61
u,441.06,2893.06
u,302.92,886.77
u,455.94,1587.8
u,722.01,1249.35
u,436.84,1178.26
u,467.97,1555.53
u,385.93,1249.63
u,384.93,1591.81
u,479.36,956.71
u,353.28,1391.5
u,440.85,1047.24
u,266.68,1145.07
c,790.62,1093.18
c,903.32,1163.11
c,970.95,1789.49
c,790.91,1231
c,769.12,1194.18
c,873.57,1181.46
c,785.93,1530.47
c,784.78,1280.09
c,712.49,1312.14
c,914.01,1307.47
c,959.54,1208.25
c,945.04,1603.34
c,901.21,1665.62
c,730.8,1307.56
c,727.59,1235.92
c,881.18,1448.81
c,821.87,1426.98
c,857.26,1231.21
c,970.29,1229.66
c,791.79,1135.2
c,879.38,1284.35
c,949.37,1246.23
c,948.47,1618.83
æ,443.24,2225.84
æ,504.96,2472.86
æ,496.72,3187.46
æ,471.08,2371.97
æ,410.21,2170
æ,530.94,2812.04
æ,534.2,2786.06
æ,420.75,2411.09
æ,379.08,2082.47
æ,499.56,1500.97
æ,441.56,2399.66
æ,467.8,2606.47
æ,400.85,2796.15
æ,438.5,1091.58
æ,425.44,1536.87
æ,387.29,2987.82
æ,431.25,2816.9
æ,448.9,1551.22
æ,417.96,2121.08
æ,498.68,2113.83
æ,532.46,2376.17
æ,516.82,2826
æ,363.41,2551.24
U,727.88,1347.71
U,892.31,1464.91
U,810.48,1910.88
U,810.01,1776.5
U,728.31,1448.55
U,750.26,1303.43
U,832.3,1763.73
U,705.93,1280.09
U,707.84,1315.5
U,743.74,1663.93
U,765.93,1366.94
U,700.33,2072.37
U,826.8,1640.74
U,742.4,1620.58
U,567.72,1495.02
U,907.67,1601.18
U,1001.43,1782.86
U,892.79,1646.72
U,726.45,1329.78
U,745.07,1502.4
U,790.38,1489.79
U,887.56,1676.62
U,611.78,1850.97